SCHOOL NAME,LINK TO MENU,API LINK,API MESSAGES,MENU TYPE,,
Chestnut Ridge Middle - Chestnut Ridge School District - PA,https://chestnutridge.nutrislice.com/menu/chestnut-ridge-middle/lunch/2026-03-18,https://chestnutridge.api.nutrislice.com/menu/api/weeks/school/chestnut-ridge-middle/menu-type/lunch/2026/03/01/,https://chestnutridge.api.nutrislice.com/menu/api/messages/school/1118/menu-type/1163/,"1163,","1118,",
Everett Area High - Everett Area School District - PA,https://everett.nutrislice.com/menu/everett-area-high/lunch/2026-03-18,https://everett.api.nutrislice.com/menu/api/weeks/school/everett-area-high/menu-type/lunch/2026/03/01/,https://everett.api.nutrislice.com/menu/api/messages/school/1078/menu-type/1149/,"1149,","1078,",
Everett Area Middle - Everett Area School District - PA,https://everett.nutrislice.com/menu/everett-area-middle/lunch,https://everett.api.nutrislice.com/menu/api/weeks/school/everett-area-middle/menu-type/lunch/2026/03/01/,https://everett.api.nutrislice.com/menu/api/messages/school/1078/menu-type/1149/,"1149,","1078,",
Tussey Mountain High - Tussey Mountain School District - PA,https://tmsd.nutrislice.com/menu/tussey-mountain-high/lunch/2026-03-18,https://tmsd.api.nutrislice.com/menu/api/weeks/school/tussey-mountain-high/menu-type/lunch/2026/03/01/,https://tmsd.api.nutrislice.com/menu/api/messages/school/1253/menu-type/1256/,"1256,","1253,",
"Berks Catholic HS - Reading, PA - PA",https://berkscatholic.nutrislice.com/menu/berks-catholic-high-school/lunch/2026-03-18,https://berkscatholic.api.nutrislice.com/menu/api/weeks/school/berks-catholic-high-school/menu-type/lunch/2026/03/01/,https://berkscatholic.api.nutrislice.com/menu/api/messages/school/30736/menu-type/4505/,"4505,","30736,",
Bellwood-Antis High School - Bellwood-Antis School District - PA,https://tuckahoe.nutrislice.com/menu/bellwood-antis-high-school/lunch/2026-03-18,https://tuckahoe.api.nutrislice.com/menu/api/weeks/school/bellwood-antis-high-school/menu-type/lunch/2026/03/01/,https://tuckahoe.api.nutrislice.com/menu/api/messages/school/1212/menu-type/1238/,"1238,","1212,",
Bellwood-Antis Middle School - Bellwood-Antis School District - PA,https://tuckahoe.nutrislice.com/menu/bellwood-antis-middle-school/lunch/2026-03-18,https://tuckahoe.api.nutrislice.com/menu/api/weeks/school/bellwood-antis-middle-school/menu-type/lunch/2026/03/01/,https://tuckahoe.api.nutrislice.com/menu/api/messages/school/1212/menu-type/1238/,"1238,","1212,",
Tyrone Area High School - Tyrone Area School District - PA,https://tyrone.nutrislice.com/menu/tyrone-area-high-school/lunch/2026-03-18,https://tyrone.api.nutrislice.com/menu/api/weeks/school/tyrone-area-high-school/menu-type/lunch/2026/03/01/,https://tyrone.api.nutrislice.com/menu/api/messages/school/1232/menu-type/1250/,"1250,","1232,",
Tyrone Area Middle School - Tyrone Area School District - PA,https://tyrone.nutrislice.com/menu/tyrone-area-middle-school/lunch/2026-03-18,https://tyrone.api.nutrislice.com/menu/api/weeks/school/tyrone-area-middle-school/menu-type/lunch/2026/03/01/,https://tyrone.api.nutrislice.com/menu/api/messages/school/1232/menu-type/1250/,"1250,","1232,",
Central Bucks East High - Central Bucks School District - PA,https://cbsd.nutrislice.com/menu/central-bucks-east-high/lunch/2026-03-18,https://cbsd.api.nutrislice.com/menu/api/weeks/school/central-bucks-east-high/menu-type/lunch/2026/03/01/,https://cbsd.api.nutrislice.com/menu/api/messages/school/73/menu-type/17/,"17,","73,",
